company_id,type,rule_id,text,confidence_pct
ABB,pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,100.0
ABB,pro,P2,Strong free cash flow generation over 5 years signals healthy business fundamentals,100.0
ABB,pro,P6,Net profit compounding at above 20% over 5 years creates significant shareholder value,84.8
ABB,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90.0
ABB,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,84.9
ABB,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality,100.0
ABB,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,85.0
ABB,con,C_FALLBACK,Macro-economic sensitivity and broad sector cyclicality,100.0
ADANIENSOL,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline,90.0
ADANIENSOL,con,C1,Debt-to-equity ratio of 2.9x is elevated for a non-financial company and warrants monitoring,87.9
ADANIENSOL,con,C3,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,100.0
ADANIENSOL,con,C9,Earnings per share declining for 3 consecutive years reflects deteriorating profitability,100.0
ADANIENSOL,con,C10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,61.0
ADANIENSOL,con,C11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,85.0
ADANIENT,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality,100.0
ADANIENT,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,85.0
ADANIENT,con,C11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,85.0
ADANIGREEN,pro,P4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,100.0
ADANIGREEN,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline,100.0
ADANIGREEN,con,C1,Debt-to-equity ratio of 6.6x is elevated for a non-financial company and warrants monitoring,100.0
ADANIGREEN,con,C11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,85.0
ADANIPORTS,pro,P4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,80.2
ADANIPORTS,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline,100.0
ADANIPORTS,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,61.0
ADANIPORTS,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality,100.0
ADANIPORTS,con,C_FALLBACK,Macro-economic sensitivity and broad sector cyclicality,100.0
ADANIPOWER,pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,100.0
ADANIPOWER,pro,P2,Strong free cash flow generation over 5 years signals healthy business fundamentals,100.0
ADANIPOWER,pro,P4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,80.5
ADANIPOWER,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline,100.0
ADANIPOWER,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality,100.0
ADANIPOWER,con,C_FALLBACK,Macro-economic sensitivity and broad sector cyclicality,100.0
AMBUJACEM,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90.0
